"Reported Date","Reported Year","Reported Month","Number Dead","Number Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Migration Route","Latitude","Longitude"
"July 03, 2017",2017,"Jul",4,"",4,"","",4,"","Drowning","Central Mediterranean","32.867654900000"," 13.418127800000"
"July 01, 2017",2017,"Jul",9,"",9,"",6,3,"","Drowning","Central Mediterranean","34.822961600000"," 13.701652300000"
"June 30, 2017",2017,"Jun","",60,60,80,"","","","Drowning","Central Mediterranean","36.002093300000"," 12.040486500000"
"June 30, 2017",2017,"Jun",1,"",1,"","",1,"","Unknown","Central Mediterranean","35.643545400000"," 12.356343400000"
"June 30, 2017",2017,"Jun",10,"",10,"","","","","Drowning","Central Mediterranean","33.514303300000"," 11.098731100000"
"June 29, 2017",2017,"Jun",1,"",1,"","","","","Drowning","Central Mediterranean","32.805887100000"," 12.530751900000"
"June 28, 2017",2017,"Jun",29,"",29,"",2,27,"","Drowning","Central Mediterranean","32.862145400000"," 13.431226300000"
"June 28, 2017",2017,"Jun",1,"",1,"","","",1,"Post-partum complications","Central Mediterranean","32.815464500000"," 14.623834600000"
"June 28, 2017",2017,"Jun",2,"",2,"","","","","Unknown","Central Mediterranean","35.361136900000"," 14.749297300000"
"June 28, 2017",2017,"Jun",2,"",2,"","","","","Drowning","Central Mediterranean","32.805387500000"," 12.658530000000"
"June 27, 2017",2017,"Jun",7,"",7,"","","","","Drowning","Central Mediterranean","32.879834200000"," 13.361960000000"
"June 27, 2017",2017,"Jun",1,"",1,"","","","","Presumed drowning","Central Mediterranean","32.906994338955"," 14.344975975703"
"June 26, 2017",2017,"Jun",3,"",3,"","","","","Drowning","Central Mediterranean","31.624914100000"," 17.262365100000"
"June 26, 2017",2017,"Jun",1,"",1,"","","","","Drowning","Central Mediterranean","32.813343100000"," 12.882482200000"
"June 25, 2017",2017,"Jun",2,"",2,229,"","","","Unknown","Central Mediterranean","34.850503900000"," 17.548484400000"
"June 24, 2017",2017,"Jun",1,"",1,"","","","","Drowning","Central Mediterranean","32.863162400000"," 13.436776100000"
"June 22, 2017",2017,"Jun",1,"",1,71,"","","","Drowning","Central Mediterranean","35.362145603321"," 16.324406443750"
"June 21, 2017",2017,"Jun",18,"",18,2,"","","","Drowning","Central Mediterranean","32.750388000000"," 13.714585600000"
"June 21, 2017",2017,"Jun",5,"",5,"","",5,"","Drowning","Central Mediterranean","32.859600500000"," 13.434085900000"
"June 20, 2017",2017,"Jun",3,"",3,"","","","","Drowning","Central Mediterranean","32.936650700000"," 12.087716000000"
"June 20, 2017",2017,"Jun",1,"",1,"","",1,"","Drowning","Western Mediterranean","35.825513600000"," -5.724505600000"
"June 19, 2017",2017,"Jun","",7,7,"","","","","Drowning","Central Mediterranean","34.184744800000"," 11.877754500000"
"June 18, 2017",2017,"Jun",7,"",7,"","","","","Drowning","Central Mediterranean","32.844710200000"," 12.592091000000"
"June 18, 2017",2017,"Jun",9,"",9,"","","","","Drowning","Central Mediterranean","32.886405800000"," 13.378755100000"
"June 17, 2017",2017,"Jun","",110,110,25,"","","","Drowning","Central Mediterranean","32.862293600000"," 12.530664000000"
"June 17, 2017",2017,"Jun",5,"",5,135,"","","","Drowning","Central Mediterranean","32.862293600000"," 12.530664000000"
"June 17, 2017",2017,"Jun","","",0,"","","","","Drowning","Central Mediterranean","32.862293600000"," 12.530664000000"
"June 17, 2017",2017,"Jun","","",0,"","","","","Drowning","Central Mediterranean","32.862293600000"," 12.530664000000"
"June 17, 2017",2017,"Jun",2,"",2,"",1,1,"","Drowning","Central Mediterranean","32.846969800000"," 12.660515500000"
"June 16, 2017",2017,"Jun",5,"",5,"","","","","Unknown","Western Mediterranean","37.574842100000"," -1.021354200000"
"June 16, 2017",2017,"Jun",8,"",8,"","","","","Drowning","Central Mediterranean","32.793307100000"," 12.656110600000"
"June 15, 2017",2017,"Jun",3,"",3,"","","","","Drowning","Central Mediterranean","32.821469400000"," 12.950294100000"
"June 15, 2017",2017,"Jun",4,"",4,"","","","","Drowning","Central Mediterranean","32.792488500000"," 12.763262100000"
"June 15, 2017",2017,"Jun","",126,126,4,"","","","Drowning","Central Mediterranean","32.150897305344"," 17.730387775000"
"June 13, 2017",2017,"Jun",1,"",1,"",1,"","","Unknown","Central Mediterranean","35.504484127391"," 13.315461743750"
"June 13, 2017",2017,"Jun",1,"",1,"","","","","Drowning","Central Mediterranean","32.815665881156"," 12.456513532813"
"June 12, 2017",2017,"Jun",2,"",2,"","",2,"","Drowning","Central Mediterranean","32.791747900000"," 13.692131800000"
"June 12, 2017",2017,"Jun",2,"",2,"","",2,"","Drowning","Western Mediterranean","35.314206700000"," -2.944928000000"
"June 10, 2017",2017,"Jun",8,"",8,"","",8,"","Unknown","Central Mediterranean","32.791343600000"," 13.698904100000"
"June 10, 2017",2017,"Jun","",52,52,79,"","","","Drowning","Central Mediterranean","33.746741521914"," 12.901894537500"
"June 10, 2017",2017,"Jun",8,"",8,"",6,2,"","Drowning","Central Mediterranean","34.829317300000"," 11.866077900000"
"June 10, 2017",2017,"Jun",1,"",1,"","","","","Drowning","Central Mediterranean","34.895873535990"," 14.062673906250"
